[2026-08-16 00:09:53.673 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 16:10:31.801 (UTC)] info/application	[Sensor] Updated distance: 42.76408421656307 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:32.804 (UTC)] info/application	[Sensor] Updated distance: 16.75426200719283 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:33.807 (UTC)] info/application	[Sensor] Updated distance: 42.10415614773713 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:34.800 (UTC)] info/application	[Sensor] Updated distance: 37.72767719054952 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:35.803 (UTC)] info/application	[Sensor] Updated distance: 47.25957321247997 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:36.806 (UTC)] info/application	[Sensor] Updated distance: 48.047422490104765 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:37.799 (UTC)] info/application	[Sensor] Updated distance: 2.024232886742909 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:38.802 (UTC)] info/application	[Sensor] Updated distance: 24.37005096225536 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:39.804 (UTC)] info/application	[Sensor] Updated distance: 22.722664291375626 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:40.807 (UTC)] info/application	[Sensor] Updated distance: 12.78280291463379 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:41.800 (UTC)] info/application	[Sensor] Updated distance: 11.021133531360483 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:42.804 (UTC)] info/application	[Sensor] Updated distance: 47.35631783183492 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:43.797 (UTC)] info/application	[Sensor] Updated distance: 36.980678000944046 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:44.802 (UTC)] info/application	[Sensor] Updated distance: 20.422635481889653 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:45.805 (UTC)] info/application	[Sensor] Updated distance: 46.066923541979364 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:46.798 (UTC)] info/application	[Sensor] Updated distance: 26.185453619894314 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:47.802 (UTC)] info/application	[Sensor] Updated distance: 16.233241855275466 cm | Severity=75 | SourceName=Sensor3 | EventType=application
