[2026-08-16 20:36:06.488 (UTC)] info/application	[Sensor] Updated distance: 21.5624368889548 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:07.488 (UTC)] info/application	[Sensor] Updated distance: 21.8197069744671 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:08.488 (UTC)] info/application	[Sensor] Updated distance: 22.2233208090641 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:09.488 (UTC)] info/application	[Sensor] Updated distance: 20.9861534614983 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:10.488 (UTC)] info/application	[Sensor] Updated distance: 19.701798827947 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:11.488 (UTC)] info/application	[Sensor] Updated distance: 20.3070271882727 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:12.488 (UTC)] info/application	[Sensor] Updated distance: 19.8462894080888 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:13.489 (UTC)] info/application	[Sensor] Updated distance: 19.0148410387406 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:14.489 (UTC)] info/application	[Sensor] Updated distance: 17.5813953546255 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:15.490 (UTC)] info/application	[Sensor] Updated distance: 18.6184482102368 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:16.490 (UTC)] info/application	[Sensor] Updated distance: 18.8104278283708 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:17.490 (UTC)] info/application	[Sensor] Updated distance: 18.2876817790268 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:18.490 (UTC)] info/application	[Sensor] Updated distance: 19.3659908831427 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:19.490 (UTC)] info/application	[Sensor] Updated distance: 19.4139308367921 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:20.490 (UTC)] info/application	[Sensor] Updated distance: 18.0376220357314 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:21.490 (UTC)] info/application	[Sensor] Updated distance: 18.8631985689808 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:22.490 (UTC)] info/application	[Sensor] Updated distance: 20.1628009419249 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:23.490 (UTC)] info/application	[Sensor] Updated distance: 21.0150652006339 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:24.490 (UTC)] info/application	[Sensor] Updated distance: 19.5948214442911 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:25.490 (UTC)] info/application	[Sensor] Updated distance: 18.2357836203816 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:26.490 (UTC)] info/application	[Sensor] Updated distance: 16.7858462903117 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:27.490 (UTC)] info/application	[Sensor] Updated distance: 18.0172997950657 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:28.490 (UTC)] info/application	[Sensor] Updated distance: 16.6331395856725 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:29.490 (UTC)] info/application	[Sensor] Updated distance: 15.2921762044039 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:30.490 (UTC)] info/application	[Sensor] Updated distance: 16.4967321413554 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:31.491 (UTC)] info/application	[Sensor] Updated distance: 17.6127044933907 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:32.491 (UTC)] info/application	[Sensor] Updated distance: 16.811922866065 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:33.491 (UTC)] info/application	[Sensor] Updated distance: 15.7339373145876 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:34.491 (UTC)] info/application	[Sensor] Updated distance: 15.2073963027016 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:35.481 (UTC)] info/application	[Sensor] Updated distance: 14.4813101382373 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:36.482 (UTC)] info/application	[Sensor] Updated distance: 15.5489935497981 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:37.482 (UTC)] info/application	[Sensor] Updated distance: 14.4807532864999 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:38.481 (UTC)] info/application	[Sensor] Updated distance: 15.5119372075479 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:39.481 (UTC)] info/application	[Sensor] Updated distance: 15.4832344537057 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:40.482 (UTC)] info/application	[Sensor] Updated distance: 14.6778268428416 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:41.482 (UTC)] info/application	[Sensor] Updated distance: 15.9246561303384 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:42.482 (UTC)] info/application	[Sensor] Updated distance: 15.0011817354249 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:43.482 (UTC)] info/application	[Sensor] Updated distance: 15.2350363457739 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:44.482 (UTC)] info/application	[Sensor] Updated distance: 14.1504172639225 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:45.482 (UTC)] info/application	[Sensor] Updated distance: 13.2934971848938 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:46.483 (UTC)] info/application	[Sensor] Updated distance: 13.0644046494571 cm | Severity=75 | SourceName=Sensor3 | EventType=application
