[2026-08-16 20:18:46.256 (UTC)] info/application	[Sensor] Updated distance: 22.9341416509981 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:47.255 (UTC)] info/application	[Sensor] Updated distance: 21.498816312523 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:48.255 (UTC)] info/application	[Sensor] Updated distance: 22.7919074540455 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:49.255 (UTC)] info/application	[Sensor] Updated distance: 24.2333887346244 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:50.256 (UTC)] info/application	[Sensor] Updated distance: 24.4803257593794 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:51.255 (UTC)] info/application	[Sensor] Updated distance: 25.3076643963846 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:52.256 (UTC)] info/application	[Sensor] Updated distance: 25.1077941495962 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:53.256 (UTC)] info/application	[Sensor] Updated distance: 26.5252358049738 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:54.257 (UTC)] info/application	[Sensor] Updated distance: 27.6890710914457 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:55.256 (UTC)] info/application	[Sensor] Updated distance: 27.8323671532946 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:56.257 (UTC)] info/application	[Sensor] Updated distance: 27.102374284343 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:57.257 (UTC)] info/application	[Sensor] Updated distance: 26.8182641755875 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:58.257 (UTC)] info/application	[Sensor] Updated distance: 25.3875825064665 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:59.257 (UTC)] info/application	[Sensor] Updated distance: 23.9171124500768 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:00.257 (UTC)] info/application	[Sensor] Updated distance: 23.5465339101136 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:01.258 (UTC)] info/application	[Sensor] Updated distance: 23.1149825901329 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:02.258 (UTC)] info/application	[Sensor] Updated distance: 22.8082360552197 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:03.259 (UTC)] info/application	[Sensor] Updated distance: 23.8685166355542 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:04.259 (UTC)] info/application	[Sensor] Updated distance: 25.0000984214713 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:05.259 (UTC)] info/application	[Sensor] Updated distance: 25.1088322503999 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:06.260 (UTC)] info/application	[Sensor] Updated distance: 25.6828507954175 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:07.260 (UTC)] info/application	[Sensor] Updated distance: 26.5862554761517 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:08.260 (UTC)] info/application	[Sensor] Updated distance: 26.8569291608208 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:09.260 (UTC)] info/application	[Sensor] Updated distance: 27.555802873129 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:10.260 (UTC)] info/application	[Sensor] Updated distance: 28.6373376353352 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:11.260 (UTC)] info/application	[Sensor] Updated distance: 28.1597588263265 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:12.260 (UTC)] info/application	[Sensor] Updated distance: 27.3898953129025 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:13.260 (UTC)] info/application	[Sensor] Updated distance: 27.188561982563 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:14.260 (UTC)] info/application	[Sensor] Updated distance: 28.1563493957074 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:15.260 (UTC)] info/application	[Sensor] Updated distance: 28.9464552863252 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:16.251 (UTC)] info/application	[Sensor] Updated distance: 29.0246355401001 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:17.251 (UTC)] info/application	[Sensor] Updated distance: 27.590633224971 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:18.251 (UTC)] info/application	[Sensor] Updated distance: 28.4454137771136 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:19.251 (UTC)] info/application	[Sensor] Updated distance: 28.316685171014 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:20.252 (UTC)] info/application	[Sensor] Updated distance: 26.8241641350669 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:21.252 (UTC)] info/application	[Sensor] Updated distance: 26.4258817119645 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:22.252 (UTC)] info/application	[Sensor] Updated distance: 25.6244917428701 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:23.252 (UTC)] info/application	[Sensor] Updated distance: 25.4321004615315 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:24.252 (UTC)] info/application	[Sensor] Updated distance: 24.9512596924097 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:25.253 (UTC)] info/application	[Sensor] Updated distance: 23.8137050083902 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:26.253 (UTC)] info/application	[Sensor] Updated distance: 25.2646097889005 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:27.253 (UTC)] info/application	[Sensor] Updated distance: 25.5537761508272 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:28.254 (UTC)] info/application	[Sensor] Updated distance: 25.6321113580522 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:29.254 (UTC)] info/application	[Sensor] Updated distance: 24.1523344680445 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:30.255 (UTC)] info/application	[Sensor] Updated distance: 24.4710307749785 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:31.255 (UTC)] info/application	[Sensor] Updated distance: 25.6787874436373 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:32.255 (UTC)] info/application	[Sensor] Updated distance: 25.2674592336488 cm | Severity=75 | SourceName=Sensor2 | EventType=application
