[2026-08-16 01:08:56.558 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 17:09:33.685 (UTC)] info/application	[Sensor] Updated distance: 13.798364898096008 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:34.687 (UTC)] info/application	[Sensor] Updated distance: 17.83775636546209 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:35.690 (UTC)] info/application	[Sensor] Updated distance: 26.54154214660709 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:36.681 (UTC)] info/application	[Sensor] Updated distance: 25.167074936985536 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:37.683 (UTC)] info/application	[Sensor] Updated distance: 30.409115439471375 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:38.685 (UTC)] info/application	[Sensor] Updated distance: 32.84015140628449 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:39.687 (UTC)] info/application	[Sensor] Updated distance: 33.28683348711898 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:40.689 (UTC)] info/application	[Sensor] Updated distance: 49.1216168474041 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:41.681 (UTC)] info/application	[Sensor] Updated distance: 27.19473907779657 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:42.684 (UTC)] info/application	[Sensor] Updated distance: 29.827026707971015 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:43.686 (UTC)] info/application	[Sensor] Updated distance: 26.841459181551567 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:44.688 (UTC)] info/application	[Sensor] Updated distance: 15.509411877724068 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:45.681 (UTC)] info/application	[Sensor] Updated distance: 30.469098886693406 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:46.683 (UTC)] info/application	[Sensor] Updated distance: 45.30974961598857 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:47.685 (UTC)] info/application	[Sensor] Updated distance: 38.98311359667364 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:48.688 (UTC)] info/application	[Sensor] Updated distance: 7.101878921083118 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:49.690 (UTC)] info/application	[Sensor] Updated distance: 33.7091457097368 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:50.682 (UTC)] info/application	[Sensor] Updated distance: 47.69325335216394 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:51.684 (UTC)] info/application	[Sensor] Updated distance: 32.57507286899494 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:52.685 (UTC)] info/application	[Sensor] Updated distance: 39.886952879786 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:53.687 (UTC)] info/application	[Sensor] Updated distance: 49.64515738172697 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:54.689 (UTC)] info/application	[Sensor] Updated distance: 12.570278172646779 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:55.682 (UTC)] info/application	[Sensor] Updated distance: 49.60524702798819 cm | Severity=75 | SourceName=Sensor3 | EventType=application
